Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD),Loan sanctioned
M,43.0,3254.86,Low,Working,Laborers,Rural,165057.38,595.93,3.0,705.37,0,Inactive,Rural,1,295267.35,115540.17,True
F,35.0,1771.99,Low,Working,Not available,Rural,25446.28,131.93,1.0,760.63,0,Inactive,Rural,1,36717.16,17812.4,True
F,24.0,2065.86,Low,Working,Managers,Semi-Urban,79911.97,298.82,2.0,835.15,0,Unpossessed,Semi-Urban,1,150909.72,63929.58,True
F,61.0,0.0,High,Pensioner,Retired,Semi-Urban,53945.08,224.32,0.0,633.65,0,Inactive,Urban,0,76989.84,37761.56,True
M,61.0,0.0,Low,State servant,Core staff,Semi-Urban,159977.79,712.69,2.0,752.37,0,Unpossessed,Urban,1,264770.3,119983.34,True
F,23.0,2678.44,Low,Commercial associate,Sales staff,Urban,26870.0,316.29,2.0,778.31,0,Unpossessed,Semi-Urban,1,47428.16,20152.5,True
M,23.0,4322.34,Low,Commercial associate,Laborers,Semi-Urban,98533.66,640.41,2.0,875.26,0,Active,Semi-Urban,0,141791.58,73900.24,True
M,22.0,1003.95,Low,State servant,Core staff,Rural,57033.63,263.4,2.0,783.78,1,Unpossessed,Urban,1,104078.08,45626.9,True
M,18.0,2770.84,Low,Working,Laborers,Semi-Urban,112416.67,845.0,3.0,770.68,0,Unpossessed,Rural,1,160517.9,89933.34,True
M,52.0,1334.78,Low,Working,Core staff,Rural,68571.33,384.05,2.0,807.66,0,Inactive,Semi-Urban,1,81456.84,51428.5,True
F,18.0,2493.11,Low,Commercial associate,Sales staff,Semi-Urban,77623.23,413.82,3.0,786.02,0,Inactive,Semi-Urban,1,127552.22,62098.58,True
M,37.0,2589.96,Low,Working,Laborers,Semi-Urban,173522.09,550.74,2.0,753.47,0,Inactive,Urban,1,221875.45,138817.67,True
F,53.0,2127.77,Low,Working,High skill tech staff,Semi-Urban,144130.29,637.72,5.0,669.27,0,Inactive,Rural,1,255775.15,100891.2,True
F,25.0,2445.06,Low,Working,Laborers,Rural,104795.64,308.0,1.0,663.5,0,Inactive,Semi-Urban,1,172755.48,68117.17,True
M,21.0,0.0,Low,Working,Managers,Semi-Urban,104337.03,718.6,2.0,692.15,0,Unpossessed,Semi-Urban,1,180573.15,73035.92,True
M,41.0,0.0,Low,Commercial associate,Sales staff,Semi-Urban,91729.54,486.07,0.0,755.0,0,Active,Urban,1,110666.06,73383.63,True
M,21.0,0.0,Low,Working,Laborers,Semi-Urban,77664.92,311.94,0.0,667.83,0,Active,Rural,1,128406.94,54365.44,True
M,59.0,3815.32,Low,Working,Laborers,Semi-Urban,204736.98,946.50875,2.0,690.83,0,Active,Semi-Urban,1,241630.28,133079.04,True
M,40.0,1293.27,Low,Working,Drivers,Semi-Urban,49140.14,345.3,2.0,797.56,0,Active,Rural,1,92185.65,36855.1,True
F,53.0,2995.17,Low,State servant,Managers,Semi-Urban,14421.83,137.39,2.0,683.22,0,Inactive,Rural,1,23597.79,10095.28,True
M,18.0,1262.35,Low,Working,Low-skill Laborers,Rural,26429.62,263.41,2.0,699.19,1,Unpossessed,Semi-Urban,1,32777.92,17179.25,True
F,21.0,0.0,Low,Working,Not available,Semi-Urban,43668.5,180.66,2.0,710.59,1,Active,Urban,1,65050.7,28384.52,True
F,46.0,1577.6,Low,Working,Laborers,Semi-Urban,15452.64,106.72,2.0,714.42,0,Inactive,Urban,1,24570.34,10816.85,True
M,48.0,0.0,Low,Commercial associate,High skill tech staff,Rural,246597.03749999998,773.17,0.0,763.52,0,Active,Semi-Urban,1,369850.44375,177270.41499999998,True
M,65.0,3335.67,High,Pensioner,Retired,Semi-Urban,36332.6,206.06,2.0,740.04,0,Unpossessed,Rural,1,60715.3,23616.19,True
M,61.0,0.0,High,Pensioner,Retired,Semi-Urban,12853.32,76.54,2.0,831.87,0,Inactive,Urban,1,17972.27,9639.99,True
M,39.0,2122.72,Low,Working,High skill tech staff,Semi-Urban,34702.29,369.25,1.0,658.74,0,Unpossessed,Rural,1,48676.27,24291.6,True
F,65.0,0.0,High,Pensioner,Retired,Semi-Urban,182092.08,564.74,2.0,793.07,0,Active,Urban,1,203977.32,127464.46,True
M,34.0,1676.65,Low,Commercial associate,High skill tech staff,Semi-Urban,85714.86,505.12,2.0,766.73,0,Active,Rural,1,95995.68,64286.14,True
M,65.0,0.0,High,Pensioner,Retired,Rural,87229.48,364.05,2.0,824.03,0,Unpossessed,Semi-Urban,0,156521.28,69783.58,True
F,18.0,4542.89,Low,Commercial associate,High skill tech staff,Semi-Urban,134456.94,499.23,3.0,719.65,1,Unpossessed,Urban,1,246317.73,87397.01,True
M,34.0,2080.07,Low,Working,Drivers,Rural,117354.88,689.4,1.0,823.04,0,Unpossessed,Rural,1,199644.65,93883.9,True
F,65.0,1185.21,Low,Pensioner,Retired,Rural,113101.98,493.83,2.0,840.8,0,Inactive,Semi-Urban,0,146543.51,84826.48,True
M,22.0,1710.02,Low,State servant,Core staff,Semi-Urban,22799.73,186.85,4.0,706.21,0,Unpossessed,Semi-Urban,1,42385.03,15959.81,True
M,65.0,985.39,High,Pensioner,Retired,Semi-Urban,18392.55,104.52,2.0,876.8,0,Unpossessed,Rural,0,22283.7,13794.41,True
M,18.0,0.0,Low,Commercial associate,Laborers,Rural,178513.51,643.4,0.0,695.96,1,Unpossessed,Semi-Urban,1,278180.16,116033.78,True
M,26.0,0.0,Low,Working,Laborers,Semi-Urban,160508.6,411.55,3.0,696.72,0,Inactive,Rural,1,196796.8,104330.59,True
F,23.0,5154.89,Low,Commercial associate,Laborers,Rural,203153.91,487.06,4.0,746.6,0,Unpossessed,Rural,1,369850.44375,132050.04,True
M,18.0,1688.87,Low,Commercial associate,Core staff,Rural,80789.43,455.11,2.0,720.89,0,Unpossessed,Urban,1,124023.86,56552.6,True
F,18.0,1563.36,Low,Working,Laborers,Semi-Urban,16502.71,167.76,2.0,752.72,0,Unpossessed,Rural,1,27846.46,11551.9,True
M,28.0,4855.86,Low,Working,Not available,Semi-Urban,82536.91,482.8,1.0,756.46,0,Unpossessed,Semi-Urban,1,146164.29,61902.68,True
M,49.0,2041.66,Low,Working,Drivers,Semi-Urban,58989.99,343.51,2.0,775.13,1,Inactive,Semi-Urban,1,80816.99,41292.99,True
M,63.0,1751.18,High,Pensioner,Retired,Urban,126736.07,467.73,2.0,787.83,0,Unpossessed,Semi-Urban,1,163030.25,95052.05,True
F,56.0,0.0,Low,Commercial associate,Sales staff,Rural,145550.63,439.95,0.0,699.26,0,Active,Rural,1,267833.52,101885.44,True
F,18.0,2405.4,Low,Working,Waiters/barmen staff,Semi-Urban,65309.13,313.02,2.0,832.26,1,Active,Rural,1,90440.79,52247.3,True
F,41.0,1554.56,Low,Working,Sales staff,Semi-Urban,31643.17,254.19,2.0,782.91,1,Unpossessed,Rural,1,48886.77,22150.22,True
F,18.0,0.0,Low,Commercial associate,Accountants,Urban,55590.89,531.32,3.0,740.04,0,Unpossessed,Urban,1,89487.88,38913.62,True
F,59.0,0.0,Low,Working,Cleaning staff,Urban,86524.35,244.96,3.0,749.69,1,Active,Urban,1,102180.93,60567.04,True
M,33.0,3486.78,Low,Working,Not available,Semi-Urban,40712.16,406.46,0.0,801.53,0,Inactive,Semi-Urban,1,72171.58,30534.12,True
M,65.0,3034.01,High,Pensioner,Retired,Rural,136702.55,559.32,1.0,740.04,0,Active,Semi-Urban,0,254127.41,109362.04,True
M,64.0,3475.93,Low,Commercial associate,Sales staff,Urban,112378.71,771.71,2.0,783.51,1,Inactive,Rural,1,194389.26,84284.03,True
F,18.0,2553.98,Low,Working,Laborers,Semi-Urban,69972.05,309.81,0.0,666.95,0,Unpossessed,Urban,1,124326.45,48980.44,True
M,54.0,1235.59,Low,Working,Private service staff,Semi-Urban,38190.75,332.6,2.0,696.66,0,Inactive,Urban,1,68276.81,26733.52,True
M,41.0,4979.62,Low,Working,Accountants,Semi-Urban,147129.82,439.35,2.0,857.19,1,Unpossessed,Rural,1,228158.75,102990.87,True
F,63.0,0.0,Low,State servant,Medicine staff,Semi-Urban,140979.34,611.9,0.0,743.28,0,Active,Urban,1,256553.69,98685.54,True
F,55.0,0.0,Low,State servant,Core staff,Rural,38292.78,248.99,1.0,814.13,0,Unpossessed,Semi-Urban,1,45899.44,30634.22,True
M,24.0,2114.51,Low,Working,Accountants,Semi-Urban,27664.07,201.46,4.0,713.92,0,Inactive,Urban,1,42387.76,17981.65,True
F,27.0,3317.86,Low,Working,Laborers,Semi-Urban,32446.93,170.76,0.0,740.04,0,Unpossessed,Rural,1,51095.18,22712.85,True
F,64.0,1176.49,Low,State servant,Not available,Semi-Urban,37683.3,307.16,2.0,763.44,0,Unpossessed,Semi-Urban,1,57540.26,28262.48,True
F,65.0,2826.96,Low,Pensioner,Retired,Rural,58361.22,405.36,2.0,864.11,1,Active,Rural,1,67655.43,46688.98,True
M,18.0,3751.05,Low,State servant,High skill tech staff,Semi-Urban,224189.89,716.7,3.0,849.95,0,Active,Rural,1,258306.22,168142.42,True
M,22.0,0.0,Low,Working,Sales staff,Rural,35010.17,157.55,1.0,854.63,0,Unpossessed,Urban,1,40935.27,28008.14,True
M,23.0,5351.7775,Low,Working,Not available,Urban,131115.48,719.9,0.0,734.51,0,Unpossessed,Rural,1,217122.37,85225.06,True
M,22.0,1628.5,Low,Working,Laborers,Semi-Urban,88440.21,438.01,3.0,731.02,0,Active,Urban,1,126136.1,61908.15,True
M,46.0,4378.18,Low,Working,Drivers,Rural,179997.78,534.06,2.0,763.88,0,Active,Semi-Urban,1,222300.27,143998.22,True
M,63.0,0.0,Low,Working,Laborers,Semi-Urban,64745.42,297.26,3.0,775.21,0,Unpossessed,Rural,1,105691.33,48559.06,True
M,18.0,0.0,Low,State servant,Core staff,Semi-Urban,184591.39,558.25,2.0,740.46,0,Inactive,Urban,1,228863.06,119984.4,True
F,35.0,2435.41,Low,Working,High skill tech staff,Semi-Urban,33640.53,394.59,4.0,671.63,1,Unpossessed,Semi-Urban,1,51140.79,21866.34,True
F,44.0,2022.6,Low,Commercial associate,Not available,Semi-Urban,38476.85,340.79,2.0,870.03,0,Active,Semi-Urban,1,72066.33,28857.64,True
F,65.0,1422.16,High,Pensioner,Retired,Semi-Urban,81215.46,297.14,2.0,834.52,0,Inactive,Rural,0,144481.57,64972.37,True
F,36.0,1145.15,Low,Commercial associate,Core staff,Semi-Urban,77573.99,419.86,2.0,745.62,0,Unpossessed,Semi-Urban,1,100838.96,54301.79,True
M,19.0,5351.7775,Low,Commercial associate,Managers,Urban,175267.76,946.50875,4.0,740.13,0,Active,Rural,1,194253.11,113924.04,True
F,44.0,2834.37,Low,Working,Waiters/barmen staff,Urban,38725.3,201.93,1.0,685.71,0,Active,Semi-Urban,1,49793.3,27107.71,True
F,18.0,1689.36,Low,Working,Core staff,Semi-Urban,53768.38,253.0,0.0,671.53,0,Active,Rural,1,101924.72,34949.45,True
F,31.0,0.0,Low,Commercial associate,Not available,Rural,70781.27,196.56,4.0,742.26,0,Inactive,Rural,1,122101.98,49546.89,True
M,27.0,2351.64,Low,Working,Accountants,Semi-Urban,178961.51,693.85,2.0,696.6,0,Active,Semi-Urban,1,271914.22,125273.06,True
M,28.0,1714.99,Low,Commercial associate,Laborers,Semi-Urban,159894.49,532.5,3.0,664.66,0,Active,Rural,1,263923.89,103931.42,True
F,19.0,1746.95,Low,Working,Accountants,Semi-Urban,95916.76,370.83,4.0,723.66,0,Active,Semi-Urban,1,140922.78,62345.89,True
F,54.0,0.0,Low,Working,Not available,Semi-Urban,165605.69,506.11,2.0,740.04,0,Active,Urban,1,272732.95,107643.7,True
M,23.0,901.11,Low,State servant,Laborers,Semi-Urban,19288.36,194.35,3.0,710.63,0,Active,Urban,1,30507.82,13501.85,True
F,18.0,0.0,Low,Working,Core staff,Urban,82969.39,328.19,1.0,727.77,0,Active,Semi-Urban,1,94625.05,58078.57,True
M,57.0,4863.04,Low,Working,Not available,Urban,132487.79,396.41,2.0,812.32,1,Active,Urban,1,168536.35,105990.23,True
F,34.0,2304.89,Low,Commercial associate,Laborers,Semi-Urban,67068.18,329.59,1.0,752.29,0,Unpossessed,Rural,1,115011.78,46947.73,True
F,56.0,3032.66,Low,Working,Laborers,Semi-Urban,39986.83,392.98,2.0,795.6,0,Unpossessed,Urban,1,50146.72,29990.12,True
F,36.0,1960.57,Low,Commercial associate,Accountants,Rural,81124.56,511.42,2.0,767.36,1,Active,Rural,1,139247.35,56787.19,True
F,24.0,5351.7775,Low,Working,Managers,Semi-Urban,59508.73,766.99,2.0,795.66,0,Active,Rural,1,110985.87,41656.11,True
F,24.0,3440.54,Low,Working,Realty agents,Semi-Urban,61572.84,707.55,4.0,734.61,0,Unpossessed,Urban,1,112139.32,40022.35,True
F,43.0,0.0,Low,Working,Core staff,Semi-Urban,33919.61,176.32,4.0,724.73,0,Inactive,Urban,1,41941.34,23743.73,True
M,65.0,3144.71,High,Pensioner,Retired,Rural,200800.11,566.28,1.0,824.37,0,Unpossessed,Urban,0,324094.67,150600.08,True
F,41.0,5351.7775,Low,Commercial associate,Not available,Urban,114398.44,503.32,2.0,740.04,1,Active,Urban,1,213971.64,85798.83,True
M,64.0,3197.72,Low,Working,Not available,Semi-Urban,38456.71,362.08,3.0,652.1,0,Active,Urban,1,64673.01,24996.86,True
M,53.0,5351.7775,Low,Commercial associate,Managers,Semi-Urban,208415.14,734.9,2.0,842.55,0,Active,Urban,1,335378.36,156311.36,True
F,63.0,2117.5,Low,Working,Sales staff,Semi-Urban,160680.23,456.66,2.0,740.04,0,Unpossessed,Urban,1,208197.03,112476.16,True
M,54.0,4227.11,Low,Working,Laborers,Rural,182547.77,718.67,2.0,671.85,0,Inactive,Rural,1,218457.77,118656.05,True
F,48.0,0.0,Low,Working,High skill tech staff,Semi-Urban,112540.98,616.81,1.0,817.64,0,Inactive,Rural,1,159764.05,84405.74,True
M,47.0,3684.49,Low,Working,Medicine staff,Rural,118700.83,557.31,2.0,696.75,0,Inactive,Urban,1,212373.71,83090.58,True
M,59.0,3052.3,Low,Commercial associate,Sales staff,Semi-Urban,48810.05,231.62,2.0,712.29,0,Inactive,Semi-Urban,1,56298.09,34167.04,True
F,58.0,0.0,Low,Commercial associate,Laborers,Urban,67052.05,341.71,2.0,668.53,0,Active,Rural,1,98101.8,43583.83,True
M,31.0,1660.75,Low,Working,Cleaning staff,Semi-Urban,67299.5,188.41,2.0,855.47,0,Active,Urban,1,114142.51,50474.62,True
M,54.0,0.0,Low,Commercial associate,Managers,Rural,185760.74,617.71,2.0,813.48,0,Active,Rural,1,333048.05,148608.59,True
M,62.0,1373.73,High,Pensioner,Retired,Semi-Urban,45754.83,231.5,2.0,863.19,0,Unpossessed,Urban,0,86363.43,32028.38,True
F,45.0,0.0,Low,Commercial associate,Laborers,Semi-Urban,61216.04,449.8,4.0,740.04,0,Inactive,Semi-Urban,1,89955.28,42851.23,True
M,23.0,1322.52,Low,Commercial associate,Laborers,Semi-Urban,44094.85,263.82,2.0,731.18,0,Active,Semi-Urban,1,77592.99,30866.39,True
M,23.0,1198.71,Low,State servant,Not available,Rural,124244.27,631.51,4.0,710.29,1,Inactive,Semi-Urban,1,138111.87,80758.78,True
F,56.0,0.0,Low,Commercial associate,Managers,Rural,39009.6,438.16,1.0,862.72,1,Inactive,Semi-Urban,1,71810.53,27306.72,True
M,18.0,1527.59,Low,Working,Not available,Semi-Urban,49816.75,200.39,3.0,738.52,0,Active,Urban,1,67837.11,34871.72,True
F,52.0,1898.88,Low,Working,Drivers,Semi-Urban,60318.43,322.18,1.0,833.52,0,Unpossessed,Rural,1,69595.28,45238.82,True
F,38.0,4814.54,Low,Commercial associate,HR staff,Urban,28125.14,128.41,2.0,853.28,0,Unpossessed,Semi-Urban,0,50772.3,23906.37,True
M,33.0,3327.91,Low,Commercial associate,Secretaries,Semi-Urban,45898.95,321.36,2.0,759.92,1,Active,Rural,1,70722.64,32129.26,True
M,55.0,1017.47,Low,Working,Laborers,Rural,29514.09,275.39,1.0,817.37,0,Unpossessed,Semi-Urban,1,39629.31,22135.57,True
M,44.0,1840.32,Low,Commercial associate,Laborers,Semi-Urban,19770.54,97.94,3.0,761.94,0,Inactive,Urban,1,33944.11,15816.43,True
F,62.0,1064.91,High,Pensioner,Retired,Semi-Urban,27964.67,130.64,2.0,809.37,0,Inactive,Semi-Urban,0,47965.16,22371.74,True
M,33.0,1985.41,Low,Working,Laborers,Semi-Urban,37495.09,204.79,1.0,661.89,0,Inactive,Urban,1,70438.22,26246.56,True
F,64.0,0.0,Low,State servant,Medicine staff,Semi-Urban,160815.96,644.7,2.0,838.49,0,Unpossessed,Semi-Urban,1,227320.99,112571.17,True
M,18.0,1705.56,Low,Commercial associate,Laborers,Semi-Urban,146858.4,466.32,2.0,867.55,1,Inactive,Rural,1,212120.88,117486.72,True
M,47.0,2473.91,Low,Working,Laborers,Semi-Urban,33791.97,134.36,2.0,873.74,0,Inactive,Urban,1,41508.14,23654.38,True
F,18.0,1009.51,Low,Working,Cleaning staff,Semi-Urban,77845.04,491.8,2.0,769.45,0,Unpossessed,Rural,1,113841.04,58383.78,True
M,63.0,1586.16,High,Pensioner,Retired,Semi-Urban,63191.76,195.65,2.0,871.61,0,Inactive,Semi-Urban,1,74772.64,47393.82,True
F,64.0,1393.64,Low,Working,Low-skill Laborers,Semi-Urban,87103.76,343.69,4.0,674.63,0,Active,Semi-Urban,1,97453.85,60972.63,True
M,19.0,999.4,Low,State servant,Core staff,Rural,126773.01,409.63,4.0,689.98,1,Active,Urban,1,238459.84,88741.11,True
M,33.0,0.0,Low,Commercial associate,Waiters/barmen staff,Semi-Urban,36120.68,373.96,2.0,766.21,0,Unpossessed,Semi-Urban,1,57612.65,27090.51,True
F,25.0,2201.53,Low,Working,Core staff,Rural,130039.06,530.08,3.0,773.33,0,Unpossessed,Semi-Urban,1,179850.67,97529.3,True
M,64.0,1410.84,High,Pensioner,Retired,Semi-Urban,116807.56,327.56,2.0,879.59,0,Unpossessed,Semi-Urban,0,132211.28,81765.29,True
F,25.0,586.78,Low,State servant,Not available,Rural,51873.61,192.19,1.0,731.64,0,Active,Rural,1,81650.22,36311.53,True
M,18.0,0.0,Low,Working,Sales staff,Semi-Urban,46082.94,216.04,2.0,740.04,0,Inactive,Rural,1,71448.33,36866.35,True
M,51.0,1929.0,Low,State servant,Core staff,Urban,55129.36,309.86,1.0,844.45,0,Inactive,Urban,1,97146.16,41347.02,True
M,51.0,0.0,Low,Working,Not available,Semi-Urban,13422.47,125.87,2.0,679.22,0,Inactive,Urban,1,17932.22,9395.73,True
F,28.0,2293.02,Low,Working,Sales staff,Semi-Urban,137526.31,671.18,2.0,751.08,1,Unpossessed,Rural,1,251350.26,103144.73,True
M,32.0,2114.52,Low,Working,Private service staff,Rural,82854.18,459.99,3.0,690.16,0,Unpossessed,Rural,1,110178.6,53855.22,True
M,28.0,4223.17,Low,Working,Managers,Semi-Urban,238001.48,744.73,3.0,836.04,0,Inactive,Urban,1,367900.48,177270.41499999998,True
F,65.0,1110.52,High,Pensioner,Retired,Rural,75164.84,224.04,2.0,796.64,0,Unpossessed,Semi-Urban,1,135595.17,56373.63,True
M,18.0,3640.89,Low,Commercial associate,Not available,Semi-Urban,77861.54,561.35,2.0,793.71,0,Active,Rural,1,135877.41,54503.08,True
M,47.0,0.0,Low,Working,Laborers,Semi-Urban,68293.96,710.86,0.0,686.33,1,Inactive,Urban,1,99745.05,44391.07,True
F,37.0,2104.01,Low,Commercial associate,Laborers,Semi-Urban,173526.62,701.55,1.0,737.27,1,Active,Urban,1,276539.01,121468.63,True
M,61.0,1412.18,High,Pensioner,Retired,Semi-Urban,32939.79,342.26,2.0,860.56,1,Inactive,Urban,0,36709.0,26351.83,True
F,65.0,942.33,High,Pensioner,Retired,Semi-Urban,41116.95,153.96,1.0,877.48,0,Active,Rural,0,53962.22,32893.56,True
F,47.0,1571.51,Low,Working,Security staff,Semi-Urban,113905.65,459.1,0.0,715.97,0,Active,Semi-Urban,1,165389.2,74038.67,True
M,37.0,0.0,Low,Working,Drivers,Semi-Urban,68629.27,657.6,5.0,762.69,0,Active,Rural,1,87465.24,54903.42,True
M,45.0,1055.58,Low,Working,Not available,Semi-Urban,169341.3,449.17,2.0,717.7,0,Unpossessed,Urban,1,274941.38,110071.84,True
M,52.0,3922.69,Low,Commercial associate,Laborers,Semi-Urban,173265.03,514.5,2.0,677.68,0,Active,Urban,1,305869.04,112622.27,True
M,23.0,0.0,Low,Commercial associate,Laborers,Semi-Urban,39729.37,241.62,1.0,714.92,0,Unpossessed,Urban,1,56877.62,27810.56,True
M,25.0,1736.9,Low,Commercial associate,Laborers,Semi-Urban,153112.84,462.53,0.0,739.72,0,Inactive,Rural,1,230633.22,107178.99,True
F,50.0,2034.86,Low,Commercial associate,Not available,Semi-Urban,130441.72,458.08,2.0,780.81,0,Active,Urban,1,206154.79,97831.29,True
F,47.0,1630.67,Low,Working,Not available,Rural,50572.34,130.98,1.0,803.71,0,Inactive,Rural,1,76098.62,37929.25,True
M,18.0,2453.57,Low,Working,Medicine staff,Rural,130941.11,383.67,1.0,740.04,1,Inactive,Semi-Urban,1,149960.08,91658.78,True
M,42.0,2228.52,Low,Working,Sales staff,Rural,26075.15,247.45,2.0,715.16,0,Inactive,Rural,1,38983.06,18252.6,True
M,65.0,722.78,High,Pensioner,Retired,Semi-Urban,21381.04,122.2,2.0,861.7,0,Unpossessed,Semi-Urban,0,35608.47,19242.94,True
F,37.0,1214.4,Low,Working,Sales staff,Semi-Urban,12148.05,129.69,0.0,714.81,0,Inactive,Urban,1,21071.08,8503.63,True
F,41.0,1641.76,Low,Working,Private service staff,Semi-Urban,85833.12,356.02,2.0,795.39,1,Active,Urban,1,160562.41,68666.5,True
F,36.0,4131.42,Low,Commercial associate,Security staff,Semi-Urban,152679.7,822.18,0.0,720.74,0,Active,Urban,1,202169.86,99241.8,True
M,28.0,1363.17,Low,Commercial associate,Not available,Semi-Urban,101442.67,501.14,2.0,786.96,1,Unpossessed,Urban,1,164029.28,81154.14,True
F,33.0,4840.2,Low,Working,Laborers,Urban,81188.41,334.75,2.0,740.04,0,Unpossessed,Urban,1,139208.53,52772.47,True
F,65.0,1412.3,High,Pensioner,Retired,Semi-Urban,41178.33,209.07,2.0,796.48,0,Inactive,Urban,0,72317.13,28824.83,True
F,18.0,3137.53,Low,Working,Laborers,Semi-Urban,120417.35,379.56,3.0,721.85,0,Active,Urban,1,197910.98,78271.28,True
M,56.0,0.0,Low,Commercial associate,Accountants,Semi-Urban,142169.31,561.11,3.0,818.63,0,Inactive,Rural,1,187261.14,113735.45,True
F,64.0,0.0,Low,Commercial associate,Not available,Semi-Urban,41341.16,294.85,2.0,819.7,0,Active,Rural,1,68793.44,28938.81,True
M,44.0,2622.55,Low,Commercial associate,Accountants,Semi-Urban,114777.69,499.66,2.0,732.63,0,Inactive,Urban,1,160769.19,74605.5,True
M,18.0,0.0,Low,Working,Sales staff,Rural,39434.76,212.35,1.0,809.42,0,Unpossessed,Semi-Urban,1,62871.5,29576.07,True
M,35.0,1547.63,Low,Working,Laborers,Semi-Urban,38854.93,185.09,2.0,719.4,1,Active,Rural,1,48345.31,27198.45,True
F,35.0,3030.77,Low,Working,Laborers,Semi-Urban,70989.2,389.7,6.0,740.04,0,Active,Semi-Urban,1,91065.75,49692.44,True
M,28.0,5351.7775,Low,Commercial associate,Core staff,Semi-Urban,246597.03749999998,825.35,2.0,830.97,1,Inactive,Urban,1,369850.44375,177270.41499999998,True
M,43.0,1167.24,Low,Working,Not available,Rural,34213.42,179.56,4.0,658.31,0,Inactive,Urban,1,61040.27,23949.39,True
F,63.0,2341.23,Low,Working,Not available,Semi-Urban,67566.48,312.68,1.0,742.28,0,Inactive,Rural,1,94856.5,43918.21,True
M,18.0,2598.85,Low,State servant,Laborers,Urban,32977.16,236.55,2.0,724.11,0,Inactive,Rural,1,36879.15,21435.15,True
F,31.0,0.0,Low,Commercial associate,Accountants,Semi-Urban,107335.32,797.98,2.0,792.18,0,Unpossessed,Semi-Urban,1,119015.38,85868.26,True
M,28.0,0.0,Low,Working,Laborers,Semi-Urban,80404.57,228.66,3.0,744.24,0,Active,Rural,1,123608.99,56283.2,True
M,64.0,2457.78,High,Pensioner,Retired,Semi-Urban,62380.76,295.72,3.0,773.83,0,Active,Urban,1,71775.11,43666.53,True
F,47.0,1025.03,Low,Working,Sales staff,Semi-Urban,47430.07,232.06,3.0,691.34,0,Inactive,Rural,1,86181.64,33201.05,True
M,64.0,0.0,High,Pensioner,Retired,Semi-Urban,92427.37,431.9,2.0,716.7,0,Unpossessed,Urban,1,102177.23,64699.16,True
M,63.0,2125.4,High,Pensioner,Retired,Semi-Urban,159777.31,0.0,2.0,814.28,1,Unpossessed,Semi-Urban,1,269060.86,127821.85,True
M,18.0,2606.18,Low,Commercial associate,Sales staff,Urban,35520.81,387.75,2.0,757.35,1,Inactive,Semi-Urban,1,57359.35,26640.61,True
F,55.0,1537.09,Low,Working,Sales staff,Semi-Urban,112322.76,330.22,4.0,787.95,0,Active,Semi-Urban,1,124490.61,89858.21,True
M,45.0,2164.99,Low,Working,Sales staff,Semi-Urban,48334.66,313.99,2.0,740.04,0,Inactive,Rural,1,70453.58,33834.26,True
M,34.0,2501.52,Low,Working,Laborers,Semi-Urban,69924.36,333.57,2.0,768.56,0,Active,Semi-Urban,1,131479.78,55939.49,True
F,53.0,3556.58,Low,Commercial associate,Sales staff,Rural,33716.95,163.15,2.0,675.67,0,Unpossessed,Urban,1,61065.03,23601.86,True
F,20.0,3457.55,Low,Commercial associate,Core staff,Semi-Urban,206803.03,521.5,2.0,740.04,1,Active,Urban,1,279213.55,144762.12,True
M,29.0,1697.15,Low,Working,Accountants,Semi-Urban,164978.58,718.42,2.0,832.78,0,Active,Semi-Urban,1,193444.39,123733.94,True
F,18.0,2353.78,Low,Commercial associate,Laborers,Urban,139591.87,406.76,2.0,782.15,1,Unpossessed,Urban,1,211979.98,111673.5,True
M,55.0,0.0,Low,Working,Not available,Semi-Urban,30701.62,221.34,3.0,657.07,1,Inactive,Urban,1,36566.89,19956.05,True
F,18.0,4413.07,Low,Commercial associate,Drivers,Semi-Urban,246597.03749999998,946.50875,2.0,823.7,0,Active,Rural,1,296955.0,177270.41499999998,True
M,59.0,1536.33,Low,Working,Not available,Semi-Urban,74822.9,550.4,3.0,758.64,0,Unpossessed,Semi-Urban,1,99690.19,52376.03,True
F,49.0,4570.06,Low,Working,Laborers,Urban,121529.91,357.65,3.0,774.75,0,Unpossessed,Urban,1,212500.54,97223.93,True
F,37.0,2253.88,Low,Commercial associate,Not available,Semi-Urban,132633.45,389.47,4.0,779.39,0,Active,Rural,1,240160.05,99475.09,True
F,32.0,956.32,Low,Commercial associate,Laborers,Rural,38582.08,198.69,2.0,738.02,0,Unpossessed,Rural,1,51827.52,25078.35,True
F,18.0,1089.18,Low,Working,Medicine staff,Semi-Urban,28659.23,188.6,2.0,811.25,0,Unpossessed,Urban,1,39420.66,22927.38,True
M,38.0,2765.35,Low,Commercial associate,Accountants,Urban,64323.45,318.79,2.0,833.39,0,Unpossessed,Urban,1,107728.9,45026.41,True
F,36.0,2164.77,Low,Working,Sales staff,Semi-Urban,125513.29,585.53,2.0,744.39,0,Unpossessed,Urban,1,216432.15,87859.3,True
F,64.0,1696.36,Low,Working,Not available,Rural,150624.78,439.77,2.0,724.45,0,Unpossessed,Semi-Urban,1,186635.44,105437.35,True
